Age,Height,Weight,Sex,Year,Season,City,Sport,Medal,AOS,AOE
21,185,70,M,1994,Winter,Sydney,Basketball,Thanks,1,1
31,178,66,F,1988,Summer,Rio de Janeiro,Shooting,Thanks,1,2
22,173,38,F,2000,Summer,Sydney,Cycling,Thanks,1,1
33,158,68,M,2004,Winter,Antwerpen,Weightlifting,Thanks,1,1
21,193,81,M,1988,Summer,Sydney,Swimming,Thanks,1,1
22,190,77,M,1968,Summer,Mexico City,Judo,Thanks,1,1
26,179,82,M,1996,Summer,Atlanta,Football,Thanks,1,1
22,152,64,M,1996,Winter,Melbourne,Wrestling,Bronze,1,2
17,177,80,M,2016,Summer,Rio de Janeiro,Football,Thanks,1,1
20,189,77,M,1988,Summer,Tokyo,Boxing,Thanks,1,1
31,180,87,M,1928,Summer,Beijing,Water Polo,Thanks,1,1
26,165,63,M,1992,Summer,Beijing,Boxing,Gold,1,1
14,192,56,F,2000,Summer,London,Swimming,Thanks,1,1
29,186,82,F,1996,Summer,Atlanta,Sailing,Thanks,1,1
24,184,75,M,1988,Winter,Beijing,Athletics,Thanks,1,1
30,189,89,M,2016,Summer,Antwerpen,Badminton,Thanks,1,1
31,180,69,M,1906,Summer,London,Bobsleigh,Thanks,1,2
29,160,60,M,1960,Summer,Roma,Ice Hockey,Thanks,1,1
29,159,40,F,2012,Summer,Atlanta,Shooting,Thanks,1,2
32,174,63,M,1998,Summer,Sarajevo,Shooting,Thanks,1,2
26,171,59,F,1994,Summer,Sochi,Athletics,Thanks,1,1
26,165,79,M,1996,Summer,Munich,Cycling,Thanks,1,1
31,183,84,M,2016,Summer,Munich,Canoeing,Thanks,1,2
20,166,52,F,2016,Summer,Rio de Janeiro,Shooting,Thanks,1,1
18,162,64,M,1988,Summer,Athina,Swimming,Thanks,1,3
28,187,91,M,2004,Summer,Los Angeles,Badminton,Thanks,1,1
24,182,87,M,1992,Summer,Sydney,Football,Thanks,1,1
20,166,70,M,2012,Winter,London,Hockey,Thanks,1,1
37,181,82,M,2016,Summer,Munich,Shooting,Thanks,1,1
29,177,60,F,1952,Summer,Rio de Janeiro,Athletics,Thanks,1,1
21,161,70,M,1984,Winter,Innsbruck,Football,Thanks,1,1
21,174,70,M,1912,Summer,Beijing,Cycling,Thanks,1,1
19,146,57,M,1912,Winter,Torino,Wrestling,Thanks,1,5
19,205,113,M,1996,Summer,Rio de Janeiro,Water Polo,Thanks,1,1
32,179,51,F,1952,Summer,Munich,Athletics,Thanks,1,1
24,169,51,F,1952,Summer,Rio de Janeiro,Shooting,Thanks,1,1
24,174,86,M,2016,Winter,Rio de Janeiro,Fencing,Thanks,1,1
33,189,78,F,2016,Winter,Mexico City,Cross Country Skiing,Thanks,1,1
16,163,50,M,2012,Summer,Antwerpen,Archery,Thanks,1,1
31,163,75,M,1908,Winter,Beijing,Triathlon,Thanks,1,2
24,166,65,M,2004,Summer,Athina,Table Tennis,Thanks,1,1
27,168,58,M,1948,Summer,Athina,Athletics,Thanks,1,2
32,170,62,M,1996,Summer,Atlanta,Weightlifting,Thanks,1,2
21,188,103,M,2016,Summer,Barcelona,Football,Thanks,1,1
23,189,78,M,1906,Summer,Rio de Janeiro,Rowing,Thanks,1,1
18,191,102,M,2016,Summer,Moskva,Alpine Skiing,Thanks,1,5
36,180,82,M,1996,Winter,Sydney,Rowing,Thanks,1,1
27,177,76,F,2012,Summer,Calgary,Shooting,Thanks,1,2
33,163,69,M,2012,Winter,Helsinki,Athletics,Thanks,1,5
17,187,68,M,2000,Summer,Sydney,Athletics,Thanks,1,1
21,166,43,M,1968,Winter,Roma,Cycling,Thanks,1,1
24,192,106,M,2000,Summer,Sydney,Triathlon,Thanks,1,4
24,184,91,M,1904,Summer,Atlanta,Rowing,Thanks,1,1
23,162,55,M,1980,Summer,Beijing,Football,Thanks,1,1
38,180,71,F,1932,Summer,Mexico City,Rowing,Thanks,1,1
26,173,59,F,1996,Summer,Antwerpen,Volleyball,Thanks,1,1
25,178,72,M,1992,Summer,Munich,Water Polo,Thanks,1,1
18,178,78,F,2016,Winter,Atlanta,Alpine Skiing,Thanks,1,2
21,177,80,F,2008,Winter,Beijing,Judo,Thanks,1,1
16,171,70,F,2012,Summer,London,Judo,Thanks,1,1
16,178,56,F,1988,Summer,Mexico City,Athletics,Thanks,1,1
25,166,85,M,1980,Summer,London,Wrestling,Thanks,1,2
23,170,65,M,2008,Winter,Beijing,Boxing,Bronze,1,1
19,185,61,M,1988,Summer,Seoul,Rowing,Thanks,1,1
16,163,56,F,1956,Summer,Lillehammer,Boxing,Thanks,1,1
22,178,62,M,1924,Summer,Roma,Cycling,Thanks,1,1
25,187,89,F,1960,Summer,Calgary,Bobsleigh,Thanks,1,1
26,184,94,M,2016,Summer,Atlanta,Hockey,Thanks,1,1
28,177,87,M,2016,Summer,Rio de Janeiro,Equestrianism,Thanks,1,1
22,172,61,M,1948,Summer,Antwerpen,Swimming,Thanks,1,1
23,190,105,M,2016,Summer,Rio de Janeiro,Water Polo,Thanks,1,1
30,157,54,M,2016,Summer,Munich,Bobsleigh,Thanks,1,1
32,182,70,M,1996,Summer,Munich,Synchronized Swimming,Thanks,1,1
22,165,70,M,2016,Winter,Atlanta,Weightlifting,Thanks,1,2
22,192,97,M,2016,Winter,Rio de Janeiro,Athletics,Gold,1,1
13,182,71,M,2012,Summer,Sydney,Swimming,Thanks,1,1
20,174,68,M,1980,Summer,Moskva,Football,Thanks,1,1
21,177,55,M,1948,Summer,London,Athletics,Thanks,1,1
21,165,81,M,1960,Summer,Sydney,Shooting,Thanks,1,1
30,173,84,M,2016,Summer,Innsbruck,Speed Skating,Thanks,1,2
26,184,105,M,1988,Summer,London,Cycling,Thanks,1,1
20,160,46,F,2008,Summer,Beijing,Swimming,Thanks,1,1
32,181,92,M,1936,Summer,Montreal,Shooting,Thanks,1,2
16,177,75,M,1992,Winter,Roma,Swimming,Thanks,1,1
24,187,93,M,1964,Winter,Sydney,Judo,Thanks,1,1
23,177,56,F,1956,Summer,Rio de Janeiro,Sailing,Gold,1,1
33,180,74,M,2012,Summer,London,Bobsleigh,Thanks,1,2
26,175,87,F,1920,Summer,Barcelona,Shooting,Thanks,1,1
19,186,88,M,1988,Summer,Rio de Janeiro,Fencing,Thanks,1,1
37,186,99,M,1928,Summer,Munich,Shooting,Thanks,1,2
23,189,95,F,1928,Winter,Montreal,Athletics,Thanks,1,1
24,178,65,M,1968,Summer,Montreal,Athletics,Thanks,1,1
29,160,54,M,1980,Summer,Moskva,Speed Skating,Thanks,1,2
20,179,84,M,1948,Summer,Sydney,Hockey,Thanks,1,1
27,183,95,M,1988,Summer,Montreal,Shooting,Thanks,1,5
35,170,71,F,1988,Summer,London,Cycling,Thanks,1,3
26,162,66,M,1980,Summer,Beijing,Wrestling,Thanks,1,1
23,180,86,M,1992,Summer,Moskva,Football,Thanks,1,1
22,188,78,F,1998,Winter,Calgary,Judo,Thanks,1,1
25,189,86,M,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
36,166,69,F,1996,Summer,Beijing,Shooting,Thanks,1,3
32,175,60,M,2004,Summer,Munich,Sailing,Thanks,1,1
20,173,55,M,1996,Summer,Roma,Wrestling,Thanks,1,1
33,162,64,M,2008,Summer,Beijing,Shooting,Thanks,1,2
31,177,75,F,1960,Summer,Rio de Janeiro,Athletics,Thanks,1,2
30,177,86,F,2016,Winter,Torino,Cross Country Skiing,Thanks,1,1
18,187,67,F,1988,Summer,Beijing,Athletics,Thanks,1,1
25,169,71,F,2004,Summer,Munich,Athletics,Thanks,1,1
19,170,36,F,1906,Summer,Garmisch-Partenkirchen,Figure Skating,Thanks,1,1
22,172,74,M,1996,Summer,Roma,Wrestling,Thanks,1,1
27,179,71,M,1928,Summer,Sydney,Cycling,Thanks,1,1
25,169,74,M,1956,Summer,Beijing,Football,Thanks,1,1
34,160,50,M,2012,Winter,Beijing,Weightlifting,Thanks,1,2
23,185,68,M,1936,Summer,Mexico City,Sailing,Thanks,1,1
24,162,63,M,1906,Summer,Beijing,Cycling,Thanks,1,2
30,177,92,M,1996,Summer,Atlanta,Weightlifting,Thanks,1,2
38,180,84,M,2016,Summer,Munich,Shooting,Thanks,1,2
31,185,96,M,1984,Winter,London,Ice Hockey,Thanks,1,2
34,175,57,F,1994,Summer,Beijing,Athletics,Thanks,1,4
20,190,95,M,2000,Summer,Sydney,Football,Thanks,1,2
32,164,55,F,1900,Summer,Beijing,Shooting,Thanks,1,2
27,177,55,F,2000,Winter,Sydney,Athletics,Thanks,1,1
22,171,60,F,1988,Summer,Nagano,Athletics,Bronze,1,1
29,190,83,M,1936,Summer,Munich,Shooting,Thanks,1,3
31,190,90,M,2016,Summer,Innsbruck,Shooting,Thanks,1,1
25,174,67,M,1948,Summer,London,Speed Skating,Thanks,1,1
22,177,57,M,1920,Summer,Antwerpen,Boxing,Thanks,1,1
22,165,55,M,2016,Summer,Los Angeles,Hockey,Thanks,1,1
24,192,110,M,1988,Winter,Sydney,Alpine Skiing,Thanks,1,1
23,178,86,M,1906,Summer,Los Angeles,Cycling,Thanks,1,1
23,187,96,M,1988,Summer,Sydney,Rowing,Thanks,1,1
16,185,73,M,1988,Summer,Roma,Lacrosse,Thanks,1,1
28,172,64,M,2004,Summer,Antwerpen,Sailing,Silver,1,1
29,182,110,M,1928,Summer,Moskva,Wrestling,Thanks,1,2
29,173,87,M,2004,Summer,Rio de Janeiro,Shooting,Thanks,1,3
21,178,57,M,1988,Summer,Munich,Shooting,Thanks,1,1
21,160,44,F,1994,Summer,Beijing,Athletics,Thanks,1,1
28,188,80,M,1988,Summer,London,Rowing,Thanks,1,1
29,180,94,M,1924,Summer,Roma,Swimming,Thanks,1,2
24,171,68,F,2016,Summer,Rio de Janeiro,Sailing,Thanks,1,3
35,181,66,F,2004,Summer,Beijing,Athletics,Thanks,1,1
9,203,99,M,1988,Summer,Innsbruck,Ice Hockey,Thanks,1,1
25,182,83,M,1988,Summer,Rio de Janeiro,Rowing,Thanks,1,1
22,185,70,M,1992,Winter,Sydney,Bobsleigh,Thanks,1,1
21,167,47,F,1952,Summer,Antwerpen,Alpine Skiing,Thanks,1,2
26,177,56,M,2012,Summer,London,Ice Hockey,Thanks,1,1
29,190,81,M,2008,Summer,Beijing,Judo,Thanks,1,1
24,185,77,M,1996,Summer,Atlanta,Cycling,Thanks,1,2
24,185,92,M,2016,Winter,Atlanta,Wrestling,Thanks,1,1
23,174,65,M,1984,Summer,Athina,Swimming,Thanks,1,1
20,172,83,M,1996,Winter,Atlanta,Ice Hockey,Thanks,1,1
20,187,77,M,1992,Summer,Beijing,Judo,Thanks,1,1
18,181,81,M,2012,Summer,Atlanta,Football,Thanks,1,1
27,165,57,F,2012,Summer,Melbourne,Boxing,Thanks,1,1
17,171,41,F,1996,Summer,Lillehammer,Athletics,Thanks,1,1
15,170,64,M,2004,Summer,Athina,Swimming,Thanks,1,1
33,185,102,F,2016,Summer,Atlanta,Nordic Combined,Thanks,1,1
27,165,65,F,2008,Summer,Montreal,Shooting,Thanks,1,2
26,177,78,F,1964,Winter,London,Basketball,Bronze,1,1
30,165,61,M,1980,Summer,Seoul,Athletics,Thanks,1,2
18,181,78,M,2016,Summer,Rio de Janeiro,Rowing,Thanks,1,1
20,179,57,M,2016,Summer,Seoul,Swimming,Thanks,1,1
30,187,87,M,1960,Summer,Antwerpen,Shooting,Thanks,1,2
28,201,86,M,2016,Summer,Atlanta,Judo,Thanks,1,6
21,163,85,M,1912,Summer,Rio de Janeiro,Figure Skating,Thanks,1,2
36,181,70,M,1996,Summer,Atlanta,Rowing,Thanks,1,1
30,178,66,F,2008,Summer,Calgary,Shooting,Thanks,1,2
33,175,84,M,1924,Summer,Montreal,Speed Skating,Thanks,1,4
34,184,95,M,2016,Summer,Rio de Janeiro,Cycling,Thanks,1,5
34,186,70,M,1968,Winter,Antwerpen,Athletics,Thanks,1,1
34,180,76,F,2008,Summer,Rio de Janeiro,Shooting,Thanks,1,3
28,182,69,M,1988,Summer,Seoul,Rowing,Thanks,1,1
39,166,80,M,1980,Summer,Sarajevo,Shooting,Thanks,1,4
23,186,80,M,1996,Summer,Rio de Janeiro,Water Polo,Thanks,1,1
28,168,66,M,1996,Winter,Atlanta,Weightlifting,Thanks,1,2
17,178,77,M,1992,Summer,London,Basketball,Thanks,1,1
35,184,100,M,1924,Summer,London,Cycling,Thanks,1,1
25,178,45,F,1972,Summer,Sochi,Swimming,Thanks,1,1
24,167,52,M,2002,Summer,Roma,Athletics,Thanks,1,1
33,172,68,F,2008,Summer,Beijing,Football,Thanks,1,1
19,177,80,M,2016,Summer,Rio de Janeiro,Handball,Thanks,1,1
34,158,43,F,2008,Winter,Amsterdam,Luge,Thanks,1,1
31,171,66,F,1932,Summer,Rio de Janeiro,Handball,Thanks,1,4
25,181,74,M,1964,Summer,Roma,Wrestling,Thanks,1,1
34,184,71,F,1960,Summer,Antwerpen,Athletics,Thanks,1,1
25,175,70,M,1924,Summer,Beijing,Ice Hockey,Thanks,1,1
25,180,71,M,1976,Summer,Antwerpen,Rowing,Thanks,1,1
27,181,83,F,1964,Summer,Seoul,Basketball,Thanks,1,1
33,191,92,M,1996,Summer,London,Cycling,Thanks,1,1
33,176,76,F,1960,Summer,Melbourne,Shooting,Thanks,1,2
21,173,43,M,2012,Summer,Rio de Janeiro,Fencing,Thanks,1,1
24,192,83,M,2016,Summer,Seoul,Swimming,Thanks,1,1
21,186,82,M,2016,Summer,Rio de Janeiro,Basketball,Thanks,1,1
22,172,54,M,2008,Summer,Mexico City,Athletics,Thanks,1,1
17,187,79,M,1956,Summer,Rio de Janeiro,Wrestling,Thanks,1,2
21,175,69,M,1992,Winter,Atlanta,Athletics,Thanks,1,2
17,165,62,M,1964,Summer,Rio de Janeiro,Swimming,Thanks,1,1
33,176,78,F,1960,Summer,Roma,Luge,Thanks,1,3
36,183,93,F,1924,Summer,Tokyo,Nordic Combined,Thanks,1,1
21,182,79,M,1992,Summer,Moskva,Football,Thanks,1,1
20,173,73,M,1992,Winter,Beijing,Swimming,Thanks,1,1
25,187,84,M,1972,Summer,Seoul,Rowing,Thanks,1,1
26,196,97,M,1992,Summer,Atlanta,Table Tennis,Thanks,1,1
19,177,77,M,1980,Summer,London,Football,Thanks,1,1
23,191,90,M,2016,Summer,London,Rowing,Thanks,1,1
23,183,82,F,2000,Summer,Seoul,Swimming,Thanks,1,1
19,178,52,F,1972,Summer,Sydney,Swimming,Thanks,1,1
27,184,81,F,2004,Summer,Mexico City,Rowing,Thanks,1,1
33,188,86,M,1924,Summer,Beijing,Shooting,Thanks,1,2
17,163,51,F,1992,Winter,Lillehammer,Athletics,Thanks,1,1
23,181,60,M,1984,Summer,Nagano,Canoeing,Thanks,1,1
14,179,65,M,1988,Summer,London,Swimming,Thanks,1,1
36,166,101,M,1992,Summer,Helsinki,Shooting,Thanks,1,3
23,182,64,M,2012,Summer,London,Gymnastics,Thanks,1,1
25,197,86,M,1992,Summer,Beijing,Athletics,Thanks,1,1
33,176,80,M,1924,Summer,Helsinki,Rowing,Thanks,1,1
25,185,80,M,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
18,177,56,M,1972,Summer,Seoul,Swimming,Thanks,1,1
22,180,67,M,1988,Summer,Seoul,Athletics,Thanks,1,2
22,164,50,M,2008,Summer,Rio de Janeiro,Basketball,Thanks,1,1
28,177,66,M,1980,Summer,Roma,Football,Thanks,1,1
22,187,91,M,2006,Summer,Athina,Basketball,Thanks,1,1
27,196,102,M,1988,Winter,Rio de Janeiro,Cycling,Thanks,1,1
19,177,54,M,1996,Summer,Rio de Janeiro,Sailing,Thanks,1,1
27,178,75,M,2004,Winter,Athina,Swimming,Thanks,1,1
16,171,67,M,1980,Winter,Moskva,Athletics,Thanks,1,1
26,182,76,M,2012,Summer,London,Swimming,Thanks,1,1
27,194,91,M,2016,Summer,London,Swimming,Thanks,1,1
31,170,56,F,2008,Summer,Antwerpen,Swimming,Thanks,1,1
25,188,94,M,1908,Summer,Barcelona,Football,Thanks,1,1
25,177,54,F,1948,Summer,Rio de Janeiro,Athletics,Thanks,1,1
36,188,86,M,2012,Summer,Antwerpen,Golf,Thanks,1,1
34,161,64,F,2014,Winter,London,Shooting,Bronze,1,1
21,178,71,F,1956,Summer,Seoul,Athletics,Thanks,1,1
21,189,89,M,2016,Summer,Rio de Janeiro,Football,Thanks,1,1
22,174,74,F,2004,Winter,Mexico City,Athletics,Thanks,1,1
31,170,72,M,2010,Summer,Amsterdam,Handball,Thanks,1,1
28,180,83,M,1996,Summer,Sochi,Swimming,Thanks,1,1
16,190,91,M,1988,Winter,London,Swimming,Thanks,1,1
19,198,89,F,2016,Summer,Rio de Janeiro,Swimming,Thanks,1,1
28,186,91,F,1896,Winter,Athina,Luge,Thanks,1,2
30,166,54,F,1980,Summer,Mexico City,Shooting,Thanks,1,1
25,192,89,M,1928,Summer,Amsterdam,Golf,Thanks,1,1
21,189,85,M,1964,Summer,Rio de Janeiro,Wrestling,Thanks,1,1
28,182,74,M,2016,Summer,Rio de Janeiro,Wrestling,Thanks,1,2
24,165,50,M,1912,Summer,Melbourne,Athletics,Thanks,1,3
28,184,66,M,1996,Summer,Seoul,Rowing,Thanks,1,1
34,180,64,M,1980,Summer,Antwerpen,Athletics,Thanks,1,1
29,173,48,F,1964,Summer,Tokyo,Cycling,Thanks,1,1
29,196,102,M,1920,Summer,Amsterdam,Lacrosse,Thanks,1,1
20,172,52,F,1972,Summer,Athina,Rhythmic Gymnastics,Thanks,1,1
38,176,86,M,1996,Summer,Helsinki,Shooting,Thanks,1,1
20,172,66,M,2012,Summer,Albertville,Weightlifting,Thanks,1,1
19,180,72,F,1996,Winter,Atlanta,Weightlifting,Thanks,1,1
32,170,77,M,2004,Summer,London,Hockey,Thanks,1,1
25,170,72,M,2008,Summer,Athina,Handball,Thanks,1,1
23,180,73,F,2016,Winter,Rio de Janeiro,Sailing,Thanks,1,1
20,179,73,M,2016,Summer,Rio de Janeiro,Basketball,Thanks,1,1
23,177,65,M,1964,Summer,Helsinki,Cycling,Thanks,1,3
42,180,76,M,2008,Summer,Beijing,Sailing,Thanks,1,2
23,184,87,M,1996,Winter,Atlanta,Athletics,Thanks,1,1
28,161,41,M,1972,Summer,Seoul,Weightlifting,Thanks,1,2
27,171,71,M,2004,Winter,Rio de Janeiro,Athletics,Thanks,1,2
22,140,33,F,1996,Summer,Athina,Weightlifting,Thanks,1,1
26,172,68,M,2012,Summer,London,Biathlon,Thanks,1,2
25,187,101,M,1988,Summer,Sydney,Football,Thanks,1,1
24,168,79,F,1980,Summer,Mexico City,Football,Thanks,1,1
16,171,79,F,1980,Summer,Sydney,Football,Thanks,1,1
20,176,68,M,2008,Summer,London,Athletics,Thanks,1,1
27,176,87,M,2008,Summer,Beijing,Shooting,Thanks,1,1
23,176,82,F,2008,Summer,Rio de Janeiro,Swimming,Thanks,1,1
30,171,73,M,2004,Summer,Amsterdam,Speed Skating,Bronze,1,1
29,176,73,M,1932,Summer,Antwerpen,Modern Pentathlon,Thanks,1,1
37,184,70,F,2008,Summer,Rio de Janeiro,Shooting,Thanks,1,2
33,175,64,F,2016,Summer,Rio de Janeiro,Sailing,Thanks,1,1
26,177,69,M,1976,Winter,Nagano,Athletics,Thanks,1,1
29,165,66,M,1948,Summer,Barcelona,Rhythmic Gymnastics,Thanks,1,1
33,177,60,M,2012,Summer,London,Water Polo,Thanks,1,1
38,183,103,M,1996,Summer,Atlanta,Cycling,Thanks,1,2
32,176,60,M,2012,Summer,Antwerpen,Athletics,Thanks,1,1
24,175,63,M,1996,Summer,Rio de Janeiro,Athletics,Thanks,1,1
29,179,77,M,2016,Summer,London,Sailing,Thanks,1,1
34,188,94,M,2016,Summer,Rio de Janeiro,Hockey,Thanks,1,2
22,169,63,F,1972,Summer,Rio de Janeiro,Handball,Thanks,1,1
30,184,87,M,2008,Summer,Amsterdam,Golf,Thanks,1,1
28,177,90,M,1964,Winter,Beijing,Basketball,Thanks,1,5
31,179,83,M,1992,Summer,Rio de Janeiro,Sailing,Thanks,1,1
23,151,29,M,2008,Summer,London,Swimming,Thanks,1,1
21,179,98,F,1992,Summer,Rio de Janeiro,Handball,Thanks,1,1
27,186,102,M,2014,Summer,Amsterdam,Cycling,Thanks,1,1
18,175,65,M,1992,Summer,Lake Placid,Athletics,Thanks,1,1
31,169,66,M,1980,Summer,Moskva,Football,Thanks,1,1
34,181,74,M,1924,Summer,Atlanta,Rowing,Thanks,1,1
36,183,77,M,1932,Winter,Chamonix,Cycling,Thanks,1,6
20,177,65,F,1996,Summer,Lillehammer,Basketball,Thanks,1,1
25,169,46,M,1972,Summer,Lillehammer,Rowing,Thanks,1,1
24,161,34,F,1956,Summer,Garmisch-Partenkirchen,Athletics,Thanks,1,2
18,164,58,F,2008,Summer,Beijing,Volleyball,Thanks,1,1
23,170,63,M,1980,Summer,Rio de Janeiro,Wrestling,Thanks,1,1
26,172,61,M,1960,Summer,Seoul,Football,Thanks,1,1
28,178,80,M,1988,Summer,Athina,Ice Hockey,Thanks,1,1
31,186,75,F,2008,Summer,Rio de Janeiro,Biathlon,Thanks,1,3
30,186,84,F,2016,Winter,Rio de Janeiro,Figure Skating,Thanks,1,1
19,179,71,F,1992,Winter,Rio de Janeiro,Basketball,Thanks,1,1
20,160,63,M,1992,Summer,Rio de Janeiro,Volleyball,Gold,1,1
31,174,78,M,1956,Summer,Seoul,Cycling,Thanks,1,2
24,168,83,M,1992,Winter,Seoul,Cycling,Thanks,1,1
12,170,68,M,1996,Winter,Innsbruck,Wrestling,Thanks,1,1
10,174,55,F,2002,Winter,Athina,Athletics,Thanks,1,1
34,191,98,M,2012,Summer,London,Hockey,Thanks,1,1
19,182,87,M,1992,Summer,Mexico City,Football,Thanks,1,1
35,171,56,F,2008,Summer,Montreal,Shooting,Thanks,1,3
19,181,85,M,1984,Summer,Athina,Swimming,Thanks,1,1
24,174,76,M,2012,Summer,London,Football,Thanks,1,1
16,192,86,M,1996,Summer,Helsinki,Rowing,Thanks,1,1
30,169,82,M,1996,Summer,Rio de Janeiro,Wrestling,Thanks,1,2
20,183,57,M,2012,Summer,London,Boxing,Thanks,1,1
33,168,76,F,2012,Summer,Rio de Janeiro,Shooting,Thanks,1,2
28,172,51,F,1968,Winter,Tokyo,Basketball,Thanks,1,1
27,176,56,M,2012,Summer,Montreal,Athletics,Thanks,1,3
29,173,59,F,2008,Summer,Beijing,Athletics,Thanks,1,1
36,168,67,M,2008,Summer,London,Cycling,Thanks,1,2
18,182,73,M,1992,Summer,Mexico City,Rowing,Thanks,1,1
35,168,70,F,2008,Winter,Beijing,Luge,Thanks,1,3
31,182,88,M,2016,Summer,Helsinki,Shooting,Thanks,1,1
40,166,44,M,2008,Summer,Montreal,Athletics,Thanks,1,2
30,173,65,M,2012,Summer,Rio de Janeiro,Wrestling,Thanks,1,1
24,165,78,M,1992,Summer,Atlanta,Wrestling,Thanks,1,1
37,184,81,F,2012,Summer,Rio de Janeiro,Sailing,Thanks,1,2
22,186,89,M,2016,Summer,Rio de Janeiro,Rowing,Thanks,1,1
18,166,49,M,1968,Winter,Mexico City,Athletics,Thanks,1,1
10,155,58,M,1992,Winter,Athina,Athletics,Bronze,1,1
22,159,48,M,2012,Summer,Beijing,Swimming,Thanks,1,1
31,171,44,F,1932,Summer,Antwerpen,Athletics,Thanks,1,9
24,194,83,M,1996,Summer,Rio de Janeiro,Athletics,Thanks,1,1
19,166,54,M,1980,Summer,Rio de Janeiro,Wrestling,Thanks,1,1
32,167,49,M,1980,Summer,Nagano,Speed Skating,Thanks,1,1
34,192,75,M,2012,Summer,Barcelona,Athletics,Thanks,1,1
34,180,65,M,1948,Summer,Rio de Janeiro,Ice Hockey,Thanks,1,1
23,169,81,M,1968,Winter,Stockholm,Wrestling,Thanks,1,2
36,178,85,F,2008,Summer,Beijing,Sailing,Thanks,1,2
23,168,81,F,1992,Winter,Athina,Handball,Gold,1,1
21,178,58,M,2000,Summer,Seoul,Cycling,Thanks,1,1
31,191,95,M,1988,Summer,Helsinki,Shooting,Thanks,1,3
24,178,65,F,2012,Summer,Nagano,Ice Hockey,Thanks,1,1
31,169,69,F,1948,Winter,Athina,Athletics,Thanks,1,1
25,190,82,M,1972,Summer,Rio de Janeiro,Rhythmic Gymnastics,Thanks,1,1
38,166,69,M,2012,Summer,London,Athletics,Thanks,1,3
32,179,76,F,1900,Summer,Rio de Janeiro,Cycling,Thanks,1,1
27,175,91,M,1992,Winter,Rio de Janeiro,Cycling,Thanks,1,2
23,192,76,M,1908,Summer,London,Cycling,Thanks,1,1
28,161,76,M,1996,Summer,London,Hockey,Thanks,1,1
30,192,100,M,1900,Summer,Amsterdam,Cycling,Thanks,1,1
29,188,81,M,2008,Summer,Helsinki,Basketball,Thanks,1,1
15,169,64,M,1984,Summer,Sydney,Rhythmic Gymnastics,Thanks,1,1
29,168,72,M,1996,Summer,Athina,Weightlifting,Thanks,1,1
39,186,98,M,1976,Summer,St. Louis,Golf,Thanks,1,1
27,185,102,M,1996,Winter,Rio de Janeiro,Wrestling,Thanks,1,1
14,175,74,M,1996,Winter,Beijing,Athletics,Bronze,1,1
29,178,68,M,1992,Summer,Seoul,Cycling,Thanks,1,2
22,177,90,M,1996,Summer,Atlanta,Handball,Thanks,1,1
26,186,87,M,2002,Summer,Atlanta,Rowing,Thanks,1,1
28,171,67,F,1976,Summer,Montreal,Swimming,Thanks,1,1
26,170,78,F,2012,Winter,London,Shooting,Thanks,1,1
22,173,69,M,2016,Summer,Moskva,Boxing,Thanks,1,1
24,175,62,F,2016,Summer,Atlanta,Weightlifting,Thanks,1,1
27,163,61,M,1984,Summer,Athina,Shooting,Thanks,1,1
20,184,81,M,1976,Summer,Atlanta,Cycling,Thanks,1,1
24,195,81,M,2016,Summer,Rio de Janeiro,Athletics,Thanks,1,1
26,168,81,M,1984,Summer,London,Shooting,Thanks,1,1
15,181,62,M,2016,Summer,Rio de Janeiro,Football,Thanks,1,1
32,176,79,M,1968,Summer,Mexico City,Sailing,Thanks,1,1
30,187,89,M,2012,Summer,Roma,Athletics,Thanks,1,1
33,168,68,M,1996,Summer,Montreal,Water Polo,Thanks,1,1
19,166,50,F,1968,Summer,Stockholm,Weightlifting,Thanks,1,3
38,175,74,M,1996,Summer,Montreal,Canoeing,Thanks,1,1
31,201,100,M,2012,Summer,London,Handball,Thanks,1,6
30,165,62,M,1996,Summer,Atlanta,Shooting,Thanks,1,1
17,164,61,M,2012,Summer,Los Angeles,Weightlifting,Thanks,1,1
25,154,48,M,1996,Summer,Atlanta,Weightlifting,Thanks,1,1
27,187,83,M,2000,Summer,Sydney,Athletics,Thanks,1,1
37,179,75,F,1996,Summer,Atlanta,Rowing,Thanks,1,1
26,192,84,F,1988,Summer,Atlanta,Cycling,Thanks,1,1
29,182,71,M,2004,Summer,Rio de Janeiro,Ski Jumping,Thanks,1,1
29,189,97,F,2000,Summer,Barcelona,Equestrianism,Thanks,1,3
25,172,49,M,1948,Summer,London,Volleyball,Thanks,1,1
19,180,79,M,1996,Summer,Sydney,Softball,Thanks,1,1
29,171,65,F,1968,Summer,Atlanta,Athletics,Thanks,1,2
28,176,67,M,2000,Summer,Tokyo,Diving,Thanks,1,2
26,167,67,M,1988,Summer,Roma,Athletics,Thanks,1,2
26,181,73,M,1996,Summer,Rio de Janeiro,Water Polo,Thanks,1,1
26,183,77,M,1996,Summer,Beijing,Luge,Thanks,1,1
41,188,84,F,2000,Summer,Tokyo,Boxing,Thanks,1,2
32,176,75,F,2008,Summer,Sochi,Curling,Thanks,1,2
28,175,62,M,1948,Summer,Antwerpen,Athletics,Thanks,1,1
19,178,82,M,1992,Summer,Berlin,Shooting,Gold,1,1
